epoch	loss
0	15.98791790008545
1	8.901138305664062
2	8.647793769836426
3	8.32390022277832
4	7.973781108856201
5	7.04623556137085
6	6.512444972991943
7	5.977932453155518
8	5.436243534088135
9	4.894259452819824
10	4.363694190979004
11	3.8523261547088623
12	3.3613526821136475
13	2.8990609645843506
14	2.5047447681427
15	2.23966908454895
16	2.099536895751953
17	2.041285514831543
18	2.0044267177581787
19	1.9739718437194824
20	1.9413717985153198
21	1.9099433422088623
22	1.876660704612732
23	1.8445929288864136
24	1.8123342990875244
25	1.7822250127792358
26	1.7488524913787842
27	1.7196077108383179
28	1.6877855062484741
29	1.6570419073104858
30	1.6263447999954224
31	1.598032832145691
32	1.5691059827804565
33	1.5420072078704834
34	1.514399766921997
35	1.491141438484192
36	1.4640926122665405
37	1.4397071599960327
38	1.4142662286758423
39	1.3900907039642334
40	1.3662327527999878
41	1.3424115180969238
42	1.321746587753296
43	1.2990096807479858
44	1.2812292575836182
45	1.255350947380066
46	1.236384391784668
47	1.2160699367523193
48	1.1953516006469727
49	1.1775962114334106
50	1.1569695472717285
