epoch	loss
0	4.975285053253174
1	1.1277406215667725
2	0.7697616219520569
3	0.5899351835250854
4	0.5009715557098389
5	0.4510177671909332
6	0.4192461371421814
7	0.3968636989593506
8	0.3795712888240814
9	0.3659438192844391
10	0.3542757034301758
11	0.34518271684646606
12	0.335929811000824
13	0.3286583423614502
14	0.32180485129356384
15	0.31583109498023987
16	0.31012073159217834
17	0.304951012134552
18	0.3004454970359802
19	0.2962607741355896
20	0.29248860478401184
21	0.28884783387184143
22	0.2852197587490082
23	0.2821614742279053
24	0.2790902256965637
25	0.2768908143043518
26	0.27393969893455505
27	0.2719273269176483
28	0.2695421874523163
29	0.26661384105682373
30	0.26464760303497314
31	0.262571781873703
32	0.2609879672527313
33	0.2589569687843323
34	0.25715863704681396
35	0.2555188238620758
36	0.25406548380851746
37	0.2524992823600769
38	0.2509143352508545
39	0.24943211674690247
40	0.24825473129749298
41	0.2467503845691681
42	0.24552077054977417
43	0.24420399963855743
44	0.24282026290893555
45	0.24171996116638184
46	0.24063993990421295
47	0.23978173732757568
48	0.23832811415195465
49	0.23730003833770752
50	0.23679301142692566
51	0.23534376919269562
52	0.2344895899295807
53	0.2334614247083664
54	0.232216477394104
55	0.23142719268798828
56	0.23104386031627655
57	0.23047679662704468
58	0.22878515720367432
59	0.2283436506986618
60	0.2272436022758484
61	0.22680218517780304
62	0.2259873002767563
63	0.22472208738327026
64	0.22429291903972626
65	0.2236769050359726
66	0.222567617893219
67	0.2218058556318283
68	0.2213028520345688
69	0.22048427164554596
70	0.21958032250404358
71	0.21905311942100525
72	0.21847236156463623
73	0.21817806363105774
74	0.2171745002269745
75	0.2165554165840149
76	0.2157263308763504
77	0.2151559740304947
78	0.21467064321041107
79	0.21403446793556213
80	0.21358855068683624
81	0.21300704777240753
82	0.2127000242471695
83	0.21154969930648804
84	0.21147599816322327
85	0.21093407273292542
86	0.21060174703598022
87	0.21030551195144653
88	0.2093975991010666
89	0.20933797955513
90	0.2092260867357254
91	0.20807303488254547
92	0.2077035903930664
93	0.20691439509391785
94	0.2065882533788681
95	0.206432044506073
96	0.20594726502895355
97	0.20528295636177063
98	0.20526131987571716
99	0.2049144059419632
100	0.2040504515171051
